MachineIndex,MachineName,Sort,Label,Cost Type,Slot1price,Slot2price,Slot3price
1001,IDS_LUCKYSHOP_NAME_1001,5900,2,1,1500,2520,3420
1002,IDS_LUCKYSHOP_NAME_1002,500,0,1,1500,2520,3420
1003,IDS_LUCKYSHOP_NAME_1003,500,0,1,1500,2520,3420
1004,IDS_LUCKYSHOP_NAME_1004,500,0,1,1500,2520,3420
1005,IDS_LUCKYSHOP_NAME_1005,0,0,1,1500,2520,3420
1006,IDS_LUCKYSHOP_NAME_1006,500,0,1,1750,2940,3990
1007,IDS_LUCKYSHOP_NAME_1007,0,0,1,1500,2520,3420
1008,IDS_LUCKYSHOP_NAME_1008,0,0,1,1250,2100,2850
1009,IDS_LUCKYSHOP_NAME_1009,700,0,1,1750,2940,3990
1010,IDS_LUCKYSHOP_NAME_1010,700,0,1,1750,2940,3990
1011,IDS_LUCKYSHOP_NAME_1011,700,0,1,1750,2940,3990
1012,IDS_LUCKYSHOP_NAME_1012,5700,2,1,2500,4200,5700
1013,IDS_LUCKYSHOP_NAME_1013,5500,2,1,2000,3360,4560
1014,IDS_LUCKYSHOP_NAME_1014,9900,1,1,2250,3780,5130
1015,IDS_LUCKYSHOP_NAME_1015,9500,1,1,2000,3360,4560
1016,IDS_LUCKYSHOP_NAME_1016,9300,1,1,2000,3360,4560
2001,IDS_LUCKYSHOP_NAME_2001,100,0,0,2250,3780,5130
2002,IDS_LUCKYSHOP_NAME_2002,5100,2,0,2250,3780,5130
2003,IDS_LUCKYSHOP_NAME_2003,100,0,0,2250,3780,5130
2004,IDS_LUCKYSHOP_NAME_2004,100,0,0,2250,3780,5130
2005,IDS_LUCKYSHOP_NAME_2005,5300,2,0,2750,4620,6270
2006,IDS_LUCKYSHOP_NAME_2006,5000,2,0,1750,2940,3990
2007,IDS_LUCKYSHOP_NAME_2007,5000,2,0,1750,2940,3990
2008,IDS_LUCKYSHOP_NAME_2008,9500,1,0,2250,3780,5130
