MachineIndex,Rank,RewardItem,ItemCount,Description
1001,1,511003801,1,100만 골드 상품권
1001,2,511003401,99,50만골드 상품권
1001,3,511001301,900,10만 골드 상품권
1001,4,511003101,1300,5만 골드 상품권
1001,5,511001101,1600,1만 골드 상품권
1001,6,511002901,2100,5000골드 상품권
1001,7,511002801,3000,3000골드 상품권
1001,8,511002601,1000,1000 골드 상품권
1002,1,111003910,1,M4a1 JadeEd(365)
1002,2,111003904,9,M4a1 JadeEd(30)
1002,3,111003902,90,M4a1 JadeEd(7)
1002,4,511004701,130,컬러닉네임(1)
1002,5,511001404,250,No Penalty(x1)
1002,6,411007401,260,즉시 리스폰(x5)
1002,7,121001701,160,Glock(1)
1002,8,221300701,100,인디 모히칸(1)
1003,1,111004710,1,PSD XR Splendor(365)
1003,2,111004704,9,PSD XR Splendor(30)
1003,3,111004702,90,PSD XR Splendor(7)
1003,4,511004701,130,컬러닉네임(1)
1003,5,511001404,250,No Penalty(x10)
1003,6,411007401,260,즉시 리스폰(x10)
1003,7,121001101,160,DE Crane(1)
1003,8,221100501,100,소프트 컷(1)
1004,1,112000410,1,Precious AK47(365)
1004,2,112000404,9,Precious AK47(30)
1004,3,112000402,90,Precious AK47(7)
1004,4,511004701,130,컬러닉네임(1)
1004,5,511001404,250,No Penalty(x1)
1004,6,411007401,260,즉시 리스폰(x5)
1004,7,132000601,160,Hend Axe(1)
1004,8,221300701,100,인디 모히칸(1)
1005,1,111003410,1,Winter K1 Plus(365)
1005,2,111003404,9,Winter K1 Plus(30)
1005,3,111003402,90,Winter K1 Plus(7)
1005,4,511004701,130,컬러닉네임(1)
1005,5,511001404,250,No Penalty(x1)
1005,6,411007401,260,즉시 리스폰(x5)
1005,7,133000601,160,Punisher(1)
1005,8,221100501,100,소프트 컷(1)
1006,1,114002010,1,A.SVD Silencer(365)
1006,2,114002004,9,A.SVD Silencer(30)
1006,3,114002002,90,A.SVD Silencer(7)
1006,4,511004701,130,컬러닉네임(1)
1006,5,511001404,250,No Penalty(x1)
1006,6,411007401,260,즉시 리스폰(x5)
1006,7,121001501,160,Colt Anaconda(1)
1006,8,221300701,100,인디 모히칸(1)
1007,1,115001810,1,FN P90 Plus(365)
1007,2,115001804,9,FN P90 Plus(30)
1007,3,115001802,90,FN P90 Plus(7)
1007,4,511004701,130,컬러닉네임(1)
1007,5,511001401,250,No Penalty(x1)
1007,6,511000301,260,즉시 리스폰(x5)
1007,7,121001101,160,인디 모히칸(1)
1007,8,221100501,100,PG S-02(1)
1008,1,115002010,1,Prussian MP5 Plus(365)
1008,2,115002004,9,Prussian MP5 Plus(30)
1008,3,115002002,90,Prussian MP5 Plus(7)
1008,4,511001404,130,No Penalty(x1)
1008,5,411007401,250,즉시 리스폰(x5)
1008,6,121001701,260,Glock(1)
1008,7,221300701,160,인디 모히칸(1)
1008,8,252100201,100,PG S-02(1)
1009,1,411006901,1,Baraz & Besnik(365)
1009,2,411003401,9,Baraz & Besnik(30)
1009,3,411006801,90,Baraz & Besnik(7)
1009,4,511004701,130,컬러닉네임(1)
1009,5,511001404,250,No Penalty(x1)
1009,6,411007401,260,즉시 리스폰(x5)
1009,7,121001701,160,Glock(1)
1009,8,221300701,100,인디 모히칸(1)
1010,1,411007101,1,Briget & Emilia(365)
1010,2,411005101,9,Briget & Emilia(30)
1010,3,411007001,90,Briget & Emilia(7)
1010,4,511004701,130,컬러닉네임(1)
1010,5,511001404,250,No Penalty(x1)
1010,6,411007401,260,즉시 리스폰(x5)
1010,7,121001101,160,DE Crane(1)
1010,8,221100501,100,소프트 컷(1)
1011,1,411007301,1,Gloria & Debora(365)
1011,2,411005601,9,Gloria & Debora(30)
1011,3,411007201,90,Gloria & Debora(7)
1011,4,511004701,130,컬러닉네임(1)
1011,5,511001404,250,No Penalty(x1)
1011,6,411007401,260,즉시 리스폰(x5)
1011,7,132000601,160,Hend Axe(1)
1011,8,221300701,100,인디 모히칸(1)
2001,1,111003610,1,M4a1 Gold(365)
2001,2,111003604,99,M4a1 Gold(30)
2001,3,111003602,900,M4a1 Gold(7)
2001,4,132000601,1400,Hend Axe(1)
2001,5,121001701,2800,Glock(1)
2001,6,221300701,3000,인디 모히칸(1)
2001,7,252100201,1800,PG S-02(1)
2002,1,111004210,1,PDW K101 Gold(365)
2002,2,111004204,99,PDW K101 Gold(30)
2002,3,111004202,900,PDW K101 Gold(7)
2002,4,133000601,1400,Punisher(1)
2002,5,121001501,2800,Colt Anaconda(1)
2002,6,261300101,3000,키스 마스크(1)
2002,7,221100501,1800,소프트 컷(1)
2003,1,111004610,1,PSD XR Gold(50)
2003,2,111004604,99,PSD XR Gold(30)
2003,3,111004602,900,PSD XR Gold(7)
2003,4,132000601,1400,Hend Axe(1)
2003,5,121001101,2800,DE Crane(1)
2003,6,221300701,3000,인디 모히칸(1)
2003,7,252100201,1800,PG S-02(1)
2004,1,112000710,1,AK47-Gold(365)
2004,2,112000704,99,AK47-Gold30)
2004,3,112000702,900,AK47-Gold(7)
2004,4,121001101,1400,DE Crane(1)
2004,5,131000801,2800,Combat Knife(1)
2004,6,261300101,3000,키스 마스크(1)
2004,7,221100501,1800,소프트 컷(1)
2005,1,114001910,1,AWM 300 Gold(365)
2005,2,114001904,99,AWM 300 Gold(30)
2005,3,114001902,900,AWM 300 Gold(7)
2005,4,132000601,1400,Hend Axe(1)
2005,5,121001701,2800,Glock(1)
2005,6,221300701,3000,인디 모히칸(1)
2005,7,252100201,1800,PG S-02(1)
2006,1,121001210,1,D.Eagle Gold(365)
2006,2,121001204,99,D.Eagle Gold(30)
2006,3,121001202,900,D.Eagle Gold(7)
2006,4,132000601,1400,Hend Axe(1)
2006,5,131000801,2800,Combat Knife(1)
2006,6,261300101,3000,키스 마스크(1)
2006,7,221100501,1800,소프트 컷(1)
2007,1,132000710,1,Hand Axe Gold(365)
2007,2,132000704,99,Hand Axe Gold(30)
2007,3,132000702,900,Hand Axe Gold(7)
2007,4,121001701,1400,Glock(1)
2007,5,121001501,2800,Colt Anaconda(1)
2007,6,221300701,3000,인디 모히칸(1)
2007,7,252100201,1800,PG S-02(1)
1012,1,411009801,1,Viktor & Mr.King(365)
1012,2,411008001,9,Viktor & Mr.King(30)
1012,3,411007801,90,Viktor & Mr.King(7)
1012,4,511004701,130,컬러닉네임(1)
1012,5,511001404,250,No Penalty(x1)
1012,6,411007401,260,즉시 리스폰(x5)
1012,7,121001101,160,DE Crane(1)
1012,8,221100501,100,소프트 컷(1)
1013,1,111005810,1,FN SCAR-H SE(365)
1013,2,111005804,9,FN SCAR-H SE(30)
1013,3,111005802,90,FN SCAR-H SE(7)
1013,4,511004701,130,컬러닉네임(1)
1013,5,511001404,250,No Penalty(x1)
1013,6,411007401,260,즉시 리스폰(x5)
1013,7,133000601,160,Punisher(1)
1013,8,221100501,100,소프트 컷(1)
1014,1,114002310,1,AWM 300 SE(365)
1014,2,114002304,9,AWM 300 SE(30)
1014,3,114002302,90,AWM 300 SE(7)
1014,4,511004701,130,컬러닉네임(1)
1014,5,511001404,250,No Penalty(x1)
1014,6,411007401,260,즉시 리스폰(x5)
1014,7,121001701,160,Glock(1)
1014,8,221300701,100,인디 모히칸(1)
1015,1,411009701,1,Jade Edition(365)
1015,2,411008301,9,Jade Edition(30)
1015,3,411009601,90,Jade Edition(7)
1015,4,511004701,130,컬러닉네임(1)
1015,5,511001404,250,No Penalty(x1)
1015,6,411007401,260,즉시 리스폰(x5)
1015,7,132000601,160,Hend Axe(1)
1015,8,221100501,100,소프트 컷(1)
1016,1,111005710,1,AUG A3(365)
1016,2,111005704,9,AUG A3(30)
1016,3,111005702,90,AUG A3(7)
1016,4,511004701,130,컬러닉네임(1)
1016,5,511001404,250,No Penalty(x1)
1016,6,411007401,260,즉시 리스폰(x5)
1016,7,121001701,160,Glock(1)
1016,8,221300701,100,인디 모히칸(1)
2008,1,113001310,1,A.Striker Gold (365)
2008,2,113001304,99,A.Striker Gold (30)
2008,3,113001302,900,A.Striker Gold (7)
2008,4,132000601,1400,Hend Axe(1)
2008,5,121001701,2800,Glock(1)
2008,6,221300701,3000,인디 모히칸(1)
2008,7,252100201,1800,PG S-02(1)
