INDEX,ITEM,H,C,M,L,Detail_Info,Sell,Consuming Type,Time,Price
101199000,K103,1,0,1,1,101199,0,0,0,0
101101001,XM177EX,1,0,1,1,101101,1,1,24,1000
101101002,XM177EX,1,0,1,1,101101,1,1,168,5950
101101003,XM177EX,1,0,1,1,101101,1,1,360,12000
101101004,XM177EX,1,0,1,1,101101,1,1,720,22500
101102001,XM16,1,0,1,1,101102,1,1,24,1100
101102002,XM16,1,0,1,1,101102,1,1,168,6545
101102003,XM16,1,0,1,1,101102,1,1,360,13200
101102004,XM16,1,0,1,1,101102,1,1,720,24750
101299001,AKSM,1,0,1,2,101299,1,1,24,1200
101299002,AKSM,1,0,1,2,101299,1,1,168,7140
101299003,AKSM,1,0,1,2,101299,1,1,360,14400
101299004,AKSM,1,0,1,2,101299,1,1,720,27000
101103001,XK2,1,0,1,1,101103,1,1,24,1300
101103002,XK2,1,0,1,1,101103,1,1,168,7735
101103003,XK2,1,0,1,1,101103,1,1,360,15600
101103004,XK2,1,0,1,1,101103,1,1,720,29250
101104001,PDW K101,1,0,1,1,101104,1,1,24,1500
101104002,PDW K101,1,0,1,1,101104,1,1,168,8925
101104003,PDW K101,1,0,1,1,101104,1,1,360,18000
101104004,PDW K101,1,0,1,1,101104,1,1,720,33750
101105001,PSD XR,1,0,1,1,101105,1,1,24,1500
101105002,PSD XR,1,0,1,1,101105,1,1,168,8925
101105003,PSD XR,1,0,1,1,101105,1,1,360,18000
101105004,PSD XR,1,0,1,1,101105,1,1,720,33750
101399001,M3TC,1,0,1,3,101399,1,1,24,1400
101399002,M3TC,1,0,1,3,101399,1,1,168,8330
101399003,M3TC,1,0,1,3,101399,1,1,360,16800
101399004,M3TC,1,0,1,3,101399,1,1,720,31500
101499000,SF M1AM,1,0,1,4,101499,0,0,0,0
101401001,SVD TC,1,0,1,4,101401,1,1,24,1800
101401002,SVD TC,1,0,1,4,101401,1,1,168,10710
101401003,SVD TC,1,0,1,4,101401,1,1,360,21600
101401004,SVD TC,1,0,1,4,101401,1,1,720,40500
101402001,DSR e1,1,0,1,4,101402,1,1,24,1900
101402002,DSR e1,1,0,1,4,101402,1,1,168,11305
101402003,DSR e1,1,0,1,4,101402,1,1,360,22800
101402004,DSR e1,1,0,1,4,101402,1,1,720,42750
101501001,Crossbow,1,0,1,5,101501,1,1,24,1100
101501002,Crossbow,1,0,1,5,101501,1,1,168,6545
101501003,Crossbow,1,0,1,5,101501,1,1,360,13200
101501004,Crossbow,1,0,1,5,101501,1,1,720,24750
101601001,M72E8,1,0,1,6,101601,1,1,24,1700
101601002,M72E8,1,0,1,6,101601,1,1,168,10115
101601003,M72E8,1,0,1,6,101601,1,1,360,20400
101601004,M72E8,1,0,1,6,101601,1,1,720,38250
101602001,AT-4 CS,1,0,1,6,101602,1,1,24,2100
101602002,AT-4 CS,1,0,1,6,101602,1,1,168,12495
101602003,AT-4 CS,1,0,1,6,101602,1,1,360,25200
101602004,AT-4 CS,1,0,1,6,101602,1,1,720,47250
101701001,UDS-M,1,0,1,7,101701,1,1,24,2200
101701002,UDS-M,1,0,1,7,101701,1,1,168,13090
101701003,UDS-M,1,0,1,7,101701,1,1,360,26400
101701004,UDS-M,1,0,1,7,101701,1,1,720,49500
101107001,MP5K-D,1,0,1,1,101107,1,1,24,1900
101107002,MP5K-D,1,0,1,1,101107,1,1,168,11305
101107003,MP5K-D,1,0,1,1,101107,1,1,360,22800
101107004,MP5K-D,1,0,1,1,101107,1,1,720,42750
101702001,UDS-S,1,0,1,7,101702,1,1,24,2500
101702002,UDS-S,1,0,1,7,101702,1,1,168,14875
101702003,UDS-S,1,0,1,7,101702,1,1,360,30000
101702004,UDS-S,1,0,1,7,101702,1,1,720,56250
101603001,HK69 GL,1,0,1,6,101603,1,1,24,2800
101603002,HK69 GL,1,0,1,6,101603,1,1,168,16660
101603003,HK69 GL,1,0,1,6,101603,1,1,360,33600
101603004,HK69 GL,1,0,1,6,101603,1,1,720,63000
102199000,G19C3,1,0,2,1,102199,0,0,0,0
102101001,DE. Crane,1,0,2,1,102101,1,1,24,1200
102101002,DE. Crane,1,0,2,1,102101,1,1,168,7140
102101003,DE. Crane,1,0,2,1,102101,1,1,360,14400
102101004,DE. Crane,1,0,2,1,102101,1,1,720,27000
102102001,M92,1,0,2,1,102102,1,1,24,1300
102102002,M92,1,0,2,1,102102,1,1,168,7735
102102003,M92,1,0,2,1,102102,1,1,360,15600
102102004,M92,1,0,2,1,102102,1,1,720,29250
102103001,D. Snake,1,0,2,1,102103,1,1,24,1700
102103002,D. Snake,1,0,2,1,102103,1,1,168,10115
102103003,D. Snake,1,0,2,1,102103,1,1,360,20400
102103004,D. Snake,1,0,2,1,102103,1,1,720,38250
102104001,TP9,1,0,2,1,102104,1,1,24,1600
102104002,TP9,1,0,2,1,102104,1,1,168,9520
102104003,TP9,1,0,2,1,102104,1,1,360,19200
102104004,TP9,1,0,2,1,102104,1,1,720,36000
103199000,Combat Knife,1,0,3,1,103199,0,0,0,0
103299001,Battle Axe,1,0,3,2,103299,1,1,24,1400
103299002,Battle Axe,1,0,3,2,103299,1,1,168,8330
103299003,Battle Axe,1,0,3,2,103299,1,1,360,16800
103299004,Battle Axe,1,0,3,2,103299,1,1,720,31500
103101001,Flying Knife,1,0,3,1,103101,1,1,24,1100
103101002,Flying Knife,1,0,3,1,103101,1,1,168,6545
103101003,Flying Knife,1,0,3,1,103101,1,1,360,13200
103101004,Flying Knife,1,0,3,1,103101,1,1,720,24750
103301001,Blood Punish,1,0,3,3,103301,1,1,24,1700
103301002,Blood Punish,1,0,3,3,103301,1,1,168,10115
103301003,Blood Punish,1,0,3,3,103301,1,1,360,20400
103301004,Blood Punish,1,0,3,3,103301,1,1,720,38250
104199000,M67 Frag,1,0,4,1,104199,0,0,0,0
104101001,M14,1,0,4,1,104101,1,1,24,800
104101002,M14,1,0,4,1,104101,1,1,168,4760
104101003,M14,1,0,4,1,104101,1,1,360,9600
104101004,M14,1,0,4,1,104101,1,1,720,18000
104299001,IED C4,1,0,4,2,104299,1,1,24,900
104299002,IED C4,1,0,4,2,104299,1,1,168,5355
104299003,IED C4,1,0,4,2,104299,1,1,360,10800
104299004,IED C4,1,0,4,2,104299,1,1,720,20250
104298000,IED C4 (Timebomb),1,0,4,2,104298,0,0,0,0
105199000,M18 SMOKE-W,1,0,5,1,105199,0,0,0,0
105101001,M84 Stun Frag,1,0,5,1,105101,1,1,24,900
105101002,M84 Stun Frag,1,0,5,1,105101,1,1,168,5355
105101003,M84 Stun Frag,1,0,5,1,105101,1,1,360,10800
105101004,M84 Stun Frag,1,0,5,1,105101,1,1,720,20250
105201001,Mr02,1,0,5,2,105201,1,1,24,800
105201002,Mr02,1,0,5,2,105201,1,1,168,4760
105201003,Mr02,1,0,5,2,105201,1,1,360,9600
105201004,Mr02,1,0,5,2,105201,1,1,720,18000
105202001,M144,1,0,5,2,105202,1,1,24,800
105202002,M144,1,0,5,2,105202,1,1,168,4760
105202003,M144,1,0,5,2,105202,1,1,360,9600
105202004,M144,1,0,5,2,105202,1,1,720,18000
211198001,sato,2,1,1,1,211198,1,1,24,3000
211198002,sato,2,1,1,1,211198,1,1,168,17850
211198003,sato,2,1,1,1,211198,1,1,360,36000
211198004,sato,2,1,1,1,211198,1,1,720,67500
211199000,Joan,2,1,1,1,211199,0,0,0,0
211199001,Joan,2,1,1,1,211199,1,1,24,3000
211199002,Joan,2,1,1,1,211199,1,1,168,17850
211199003,Joan,2,1,1,1,211199,1,1,360,36000
211199004,Joan,2,1,1,1,211199,1,1,720,67500
231199000,Ron,2,3,1,1,231199,0,0,0,0
231199001,Ron,2,3,1,1,231199,1,1,24,3000
231199002,Ron,2,3,1,1,231199,1,1,168,17850
231199003,Ron,2,3,1,1,231199,1,1,360,36000
231199004,Ron,2,3,1,1,231199,1,1,720,67500
231198001,Igor,2,3,1,1,231198,1,1,24,3000
231198002,Igor,2,3,1,1,231198,1,1,168,17850
231198003,Igor,2,3,1,1,231198,1,1,360,36000
231198004,Igor,2,3,1,1,231198,1,1,720,67500
212198000,SatoHair,2,1,2,1,212198,0,0,0,0
212199000,JoanHair,2,1,2,1,212199,0,0,0,0
232199000,RonHair,2,3,2,1,232199,0,0,0,0
232198000,IgorHair,2,3,2,1,232198,0,0,0,0
232101001,SoftMohican,2,3,2,1,232101,1,1,24,600
232101002,SoftMohican,2,3,2,1,232101,1,1,168,3570
232101003,SoftMohican,2,3,2,1,232101,1,1,360,7200
232101004,SoftMohican,2,3,2,1,232101,1,1,720,13500
232102001,IndiMohican,2,3,2,1,232102,1,1,24,700
232102002,IndiMohican,2,3,2,1,232102,1,1,168,4165
232102003,IndiMohican,2,3,2,1,232102,1,1,360,8400
232102004,IndiMohican,2,3,2,1,232102,1,1,720,15750
232103001,Original Mohican,2,3,2,1,232103,1,1,24,600
232103002,Original Mohican,2,3,2,1,232103,1,1,168,3570
232103003,Original Mohican,2,3,2,1,232103,1,1,360,7200
232103004,Original Mohican,2,3,2,1,232103,1,1,720,13500
232104001,Short Cornrow ,2,3,2,1,232104,1,1,24,600
232104002,Short Cornrow ,2,3,2,1,232104,1,1,168,3570
232104003,Short Cornrow ,2,3,2,1,232104,1,1,360,7200
232104004,Short Cornrow ,2,3,2,1,232104,1,1,720,13500
232105001,Long Cornrow ,2,2,2,1,232105,1,1,24,800
232105002,Long Cornrow ,2,3,2,1,232105,1,1,168,4760
232105003,Long Cornrow ,2,3,2,1,232105,1,1,360,9600
232105004,Long Cornrow ,2,3,2,1,232105,1,1,720,18000
212101001,Back Hair Middle Cut,2,1,2,1,212101,1,1,24,600
212101002,Back Hair Middle Cut,2,1,2,1,212101,1,1,168,3570
212101003,Back Hair Middle Cut,2,1,2,1,212101,1,1,360,7200
212101004,Back Hair Middle Cut,2,1,2,1,212101,1,1,720,13500
212102001,Back Hair Natural,2,1,2,1,212102,1,1,24,600
212102002,Back Hair Natural,2,1,2,1,212102,1,1,168,3570
212102003,Back Hair Natural,2,1,2,1,212102,1,1,360,7200
212102004,Back Hair Natural,2,1,2,1,212102,1,1,720,13500
212103001,Back Hair Short Cut,2,1,2,1,212103,1,1,24,600
212103002,Back Hair Short Cut,2,1,2,1,212103,1,1,168,3570
212103003,Back Hair Short Cut,2,1,2,1,212103,1,1,360,7200
212103004,Back Hair Short Cut,2,1,2,1,212103,1,1,720,13500
212104001,Back Hair Legend,2,1,2,1,212104,1,1,24,700
212104002,Back Hair Legend,2,1,2,1,212104,1,1,168,4165
212104003,Back Hair Legend,2,1,2,1,212104,1,1,360,8400
212104004,Back Hair Legend,2,1,2,1,212104,1,1,720,15750
212105001,Back Hair Soft,2,1,2,1,212105,1,1,24,600
212105002,Back Hair Soft,2,1,2,1,212105,1,1,168,3570
212105003,Back Hair Soft,2,1,2,1,212105,1,1,360,7200
212105004,Back Hair Soft,2,1,2,1,212105,1,1,720,13500
212201001,GUA Police Cap,2,1,2,2,212201,1,1,24,800
212201002,GUA Police Cap,2,1,2,2,212201,1,1,168,4760
212201003,GUA Police Cap,2,1,2,2,212201,1,1,360,9600
212201004,GUA Police Cap,2,1,2,2,212201,1,1,720,18000
212301001,GUA 707 Helm,2,1,2,2,212301,1,1,24,850
212301002,GUA 707 Helm,2,1,2,2,212301,1,1,168,5058
212301003,GUA 707 Helm,2,1,2,2,212301,1,1,360,10200
212301004,GUA 707 Helm,2,1,2,2,212301,1,1,720,19125
212302001,GUA SWAT Helm,2,1,2,2,212302,1,1,24,900
212302002,GUA SWAT Helm,2,1,2,2,212302,1,1,168,5355
212302003,GUA SWAT Helm,2,1,2,2,212302,1,1,360,10800
212302004,GUA SWAT Helm,2,1,2,2,212302,1,1,720,20250
232201001,Baseball cap,2,3,2,2,232201,1,1,24,800
232201002,Baseball cap,2,3,2,2,232201,1,1,168,4760
232201003,Baseball cap,2,3,2,2,232201,1,1,360,9600
232201004,Baseball cap,2,3,2,2,232201,1,1,720,18000
232202001,Golf cap,2,3,2,2,232202,1,1,24,850
232202002,Golf cap,2,3,2,2,232202,1,1,168,5058
232202003,Golf cap,2,3,2,2,232202,1,1,360,10200
232202004,Golf cap,2,3,2,2,232202,1,1,720,19125
232203001,80`s Fedora,2,3,2,2,232203,1,1,24,900
232203002,80`s Fedora,2,3,2,2,232203,1,1,168,5355
232203003,80`s Fedora,2,3,2,2,232203,1,1,360,10800
232203004,80`s Fedora,2,3,2,2,232203,1,1,720,20250
213198000,Sato`s Lienen,2,1,3,1,213198,0,0,0,0
213199000,Joan`s cotton shirt,2,1,3,1,213199,0,0,0,0
233199000,Ron`s cotton vest,2,3,3,1,233199,0,0,0,0
233198000,Igor`s Jacket,2,3,3,1,233198,0,0,0,0
213101001,GUA Police Shirt,2,1,3,1,213101,1,1,24,1000
213101002,GUA Police Shirt,2,1,3,1,213101,1,1,168,5950
213101003,GUA Police Shirt,2,1,3,1,213101,1,1,360,12000
213101004,GUA Police Shirt,2,1,3,1,213101,1,1,720,22500
213102001,GUA SAS Jacket,2,1,3,1,213102,1,1,24,1000
213102002,GUA SAS Jacket,2,1,3,1,213102,1,1,168,5950
213102003,GUA SAS Jacket,2,1,3,1,213102,1,1,360,12000
213102004,GUA SAS Jacket,2,1,3,1,213102,1,1,720,22500
213103001,GUA BOPE Jacket,2,1,3,1,213103,1,1,24,1000
213103002,GUA BOPE Jacket,2,1,3,1,213103,1,1,168,5950
213103003,GUA BOPE Jacket,2,1,3,1,213103,1,1,360,12000
213103004,GUA BOPE Jacket,2,1,3,1,213103,1,1,720,22500
213104001,GUA NAVY SEAL Jacket,2,1,3,1,213104,1,1,24,1000
213104002,GUA NAVY SEAL Jacket,2,1,3,1,213104,1,1,168,5950
213104003,GUA NAVY SEAL Jacket,2,1,3,1,213104,1,1,360,12000
213104004,GUA NAVY SEAL Jacket,2,1,3,1,213104,1,1,720,22500
213105001,GUA 707 Jacket,2,1,3,1,213105,1,1,24,1000
213105002,GUA 707 Jacket,2,1,3,1,213105,1,1,168,5950
213105003,GUA 707 Jacket,2,1,3,1,213105,1,1,360,12000
213105004,GUA 707 Jacket,2,1,3,1,213105,1,1,720,22500
213106001,GUA SWAT Jacket,2,1,3,1,213106,1,1,24,1000
213106002,GUA SWAT Jacket,2,1,3,1,213106,1,1,168,5950
213106003,GUA SWAT Jacket,2,1,3,1,213106,1,1,360,12000
213106004,GUA SWAT Jacket,2,1,3,1,213106,1,1,720,22500
233101001,Bloody Jason`s shirt,2,3,3,1,233101,1,1,24,1000
233101002,Bloody Jason`s shirt,2,3,3,1,233101,1,1,168,5950
233101003,Bloody Jason`s shirt,2,3,3,1,233101,1,1,360,12000
233101004,Bloody Jason`s shirt,2,3,3,1,233101,1,1,720,22500
233102001,Bull`s padding,2,3,3,1,233102,1,1,24,1000
233102002,Bull`s padding,2,3,3,1,233102,1,1,168,5950
233102003,Bull`s padding,2,3,3,1,233102,1,1,360,12000
233102004,Bull`s padding,2,3,3,1,233102,1,1,720,22500
233103001,The Pride of Old school ,2,3,3,1,233103,1,1,24,1000
233103002,The Pride of Old school ,2,3,3,1,233103,1,1,168,5950
233103003,The Pride of Old school ,2,3,3,1,233103,1,1,360,12000
233103004,The Pride of Old school ,2,3,3,1,233103,1,1,720,22500
233104001,The Nastiness,2,3,3,1,233104,1,1,24,1000
233104002,The Nastiness,2,3,3,1,233104,1,1,168,5950
233104003,The Nastiness,2,3,3,1,233104,1,1,360,12000
233104004,The Nastiness,2,3,3,1,233104,1,1,720,22500
233105001,Romantic wine,2,3,3,1,233105,1,1,24,1000
233105002,Romantic wine,2,3,3,1,233105,1,1,168,5950
233105003,Romantic wine,2,3,3,1,233105,1,1,360,12000
233105004,Romantic wine,2,3,3,1,233105,1,1,720,22500
233106001,Speed Star`s Jacket,2,3,3,1,233106,1,1,24,1100
233106002,Speed Star`s Jacket,2,3,3,1,233106,1,1,168,6545
233106003,Speed Star`s Jacket,2,3,3,1,233106,1,1,360,13200
233106004,Speed Star`s Jacket,2,3,3,1,233106,1,1,720,24750
233107001,Men hunter,2,3,3,1,233107,1,1,24,1100
233107002,Men hunter,2,3,3,1,233107,1,1,168,6545
233107003,Men hunter,2,3,3,1,233107,1,1,360,13200
233107004,Men hunter,2,3,3,1,233107,1,1,720,24750
214198000,Sato`s Lienen,2,1,4,1,214198,0,0,0,0
214199000,Joan`s cotton pants,2,1,4,1,214199,0,0,0,0
234199000,Ron`s big trunk,2,3,4,1,234199,0,0,0,0
234198000,Igor`s riding pants,2,3,4,1,234198,0,0,0,0
214101001,GUA Police Pants,2,1,4,1,214101,1,1,24,900
214101002,GUA Police Pants,2,1,4,1,214101,1,1,168,5355
214101003,GUA Police Pants,2,1,4,1,214101,1,1,360,10800
214101004,GUA Police Pants,2,1,4,1,214101,1,1,720,20250
214102001,GUA SAS Pants,2,1,4,1,214102,1,1,24,900
214102002,GUA SAS Pants,2,1,4,1,214102,1,1,168,5355
214102003,GUA SAS Pants,2,1,4,1,214102,1,1,360,10800
214102004,GUA SAS Pants,2,1,4,1,214102,1,1,720,20250
214103001,GUA BOPE Pants,2,1,4,1,214103,1,1,24,900
214103002,GUA BOPE Pants,2,1,4,1,214103,1,1,168,5355
214103003,GUA BOPE Pants,2,1,4,1,214103,1,1,360,10800
